Ticker,Name,Sector,MarketCap,PE,ForwardPE,PB,PS,EVEBITDA,DivYield,ROE,ROA,OperatingMargin,DebtToEquity,CurrentPrice,LastUpdated,Value_Score,Quality_Score,Yield_Score,Total_Score
1080.SR,Arab National Bank,Financial Services,43848650752.0,8.595331,9.36017,1.059066,4.7711005,10.232,589.0,11.59,1.928,50.367,46.34,22.09,2026-04-26T08:56:13.067940+00:00,,0.9643671919173789,0.26886393308394063,
4040.SR,Saudi Public Transport Co.,Industrials,1411250048.0,24.021276,14.8240735,1.4446577,0.7726205,5.443,0.0,11.399,4.6240002,34.273997,130.401,11.29,2026-04-26T08:56:13.068671+00:00,,1.1155414566647308,-0.44074408746769944,
7020.SR,Etihad Etisalat Co.,Communication Services,50923626496.0,14.744444,17.599468,2.5051916,2.5926278,8.007,426.99999999999994,17.684,5.929,20.587,46.34,66.35,2026-04-26T08:56:13.082942+00:00,,1.5332879581000494,0.07369160824630779,
2070.SR,Saudi Pharmaceutical Industries,Healthcare,3707166208.0,28.759258,24.265625,2.3218958,2.1721113,16.392,0.0,11.951,3.261,0.123,81.394,31.06,2026-04-26T08:56:13.084354+00:00,,0.41161525732689797,-0.44074408746769944,
3030.SR,Saudi Cement Co.,Basic Materials,5226480128.0,14.352941,12.988592,2.3544006,3.1273777,8.839,969.0,16.307,8.0819994,25.283,10.361,34.16,2026-04-26T09:43:15.487966+00:00,,2.0599471826373486,0.7266755592462891,
2040.SR,Saudi Ceramic Co.,Industrials,2884739328.0,15.988951,26.309092,1.8565563,1.9355794,-51.791,351.0,12.1149994,-4.6550002,-83.392996,54.746,28.94,2026-04-26T09:43:15.514069+00:00,,-2.4478327687660886,-0.017870716986161824,
3060.SR,Yanbu Cement Co.,Basic Materials,2269574912.0,21.833332,10.076923,0.90333503,2.0937731,7.88,869.9999999999999,4.082,2.5510002,14.091000000000001,6.215,14.41,2026-04-26T09:43:15.516421+00:00,,0.3379947930991066,0.6074035829566244,
4011.SR,Lazurde Company for Jewelry,Consumer Cyclical,663550016.0,17.443037,14.8240735,2.7013109,0.22844605,98.693,0.0,-16.066,0.44799999999999995,-1.717,813.143,11.54,2026-04-26T09:43:15.519418+00:00,,-2.4218454364851127,-0.44074408746769944,
1150.SR,Alinma Bank,Financial Services,71958757376.0,12.253807,10.228814,2.0158663,6.635043,10.232,413.0,14.265998999999999,2.1760002,66.713995,46.34,24.14,2026-04-26T09:43:15.524338+00:00,,1.3611433742154766,0.056824864124537126,
4031.SR,Saudi Ground Services Co.,Industrials,5824240128.0,14.752381,15.969071,2.2700958,2.1336496,11.18,646.0,15.935999,4.808,5.525,6.64,30.98,2026-04-26T11:29:44.258405+00:00,,1.078328500419628,0.33753567700829284,
4150.SR,Arriyadh Development Co.,Real Estate,4178004480.0,13.738462,11.986578,1.0123569,10.875767,13.989,278.0,8.876000000000001,3.253,23.150000000000002,1.204,17.86,2026-04-26T11:29:44.260664+00:00,,0.7970364760735853,-0.1058187399068235,
4321.SR,Arabian Centres Co.,Real Estate,8430833152.0,6.6479397,7.395833,0.5434616,3.6918278,18.946,855.0000000000001,8.3979994,2.251,52.72,127.078,17.75,2026-04-26T11:29:44.261906+00:00,,0.8172722384536028,0.5893320713975846,
4007.SR,Al Hammadi Holding,Healthcare,4137600000.0,17.125828,12.198114,2.0635176,3.3515556,12.759,310.0,12.195,5.9860002,18.549,14.283,25.86,2026-04-26T11:29:44.271862+00:00,,1.3775072778002708,-0.06726618191420468,
2220.SR,National Metal Manufacturing an,Basic Materials,439313984.0,17.443037,14.8240735,1.9472775,1.8304901,-72.88,0.0,-9.291001,-3.2489999999999997,-13.116998999999998,38.013,12.41,2026-04-26T11:29:44.286134+00:00,,-1.7884379515801445,-0.44074408746769944,
4090.SR,Taiba Investments Co.,Consumer Cyclical,9928639488.0,27.22857,25.078947,1.4493744,7.336613,25.613,167.0,5.237,2.056,7.631,31.235,38.12,2026-04-26T12:34:30.883516+00:00,,0.1340555307738756,-0.23954792544372,
1050.SR,Banque Saudi Fransi,Financial Services,49511997440.0,10.152284,5.4054055,1.15895,5.1855154,10.232,520.0,10.947999999999999,1.778,59.526999999999994,46.34,20.0,2026-04-26T12:34:30.901559+00:00,,1.053151472998957,0.1857349799123563,
